id,Methods,Selected Bands
0,BS-Net-FC,"[53,77,61,54,16,8,158,49,176,179,56,189,197,21,43,37,5,40,45,18]"
1,BS-Net-Conv,"[116,153,19,189,97,179,171,141,95,144,142,46,104,203,91,18,176,108,150,194]"
2,ISSC,"[141,182,106,147,107,146,108,202,203,109,145,148,112,201,110,113,144,149,105,154]"
3,SpaBS,"[0,79,166,80,203,78,77,76,55,81,97,5,23,75,2,82,56,74,143,85]"
4,MVPCA,"[169,67,168,63,68,78,167,166,165,69,164,163,77,162,70,62,160,161,76,158]"
5,SNMF,"[24,1,105,196,203,0,39,116,38,60,89,104,198,147,158,3,146,4,93,88]"
6,MOBS,"[16,17,19,45,52,58,62,75,81,97,99,131,135,136,139,142,173,174,176,181]"
7,OPBS,"[44,31,37,66,11,1,164,2,18,0,3,40,4,54,33,96,5,36,6,151]"
8,DABSRecNet,"[64, 124, 10, 12, 118, 16, 84, 122, 60, 150, 119, 11, 121, 120, 128, 112, 45, 72, 33, 102]"
